epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,27759,0.99479,1.00474,1.09842,0.86941,0.69875,0.79004,0.61699,0.82196,0.81629,0.91163,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312
59,28233.2,1.0049,1.02148,1.10886,0.84033,0.69977,0.78969,0.61508,0.83566,0.82633,0.9157,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
60,28706.8,1.01804,1.02773,1.11139,0.83145,0.70529,0.79028,0.61908,0.81092,0.80514,0.91137,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305
61,29180.3,1.00347,1.00966,1.10632,0.86369,0.71904,0.80083,0.63031,0.7881,0.79306,0.9057,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
62,29647.6,1.00206,1.00869,1.11147,0.87931,0.69398,0.79522,0.61562,0.81677,0.81063,0.9112,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299
63,30122.9,1.02334,1.02096,1.11361,0.86766,0.69646,0.79531,0.61874,0.8136,0.80309,0.91074,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
64,30597.7,0.9967,1.01414,1.09829,0.87144,0.70029,0.80186,0.62338,0.79018,0.79336,0.90517,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292
65,31073.8,0.9931,0.99307,1.09821,0.87206,0.70197,0.79752,0.62199,0.79779,0.78197,0.90659,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
66,31543.6,0.99306,0.99586,1.10499,0.85302,0.70002,0.79022,0.6182,0.80128,0.79203,0.90384,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
67,32020.7,0.98348,0.98345,1.0924,0.87681,0.70717,0.80417,0.62582,0.80261,0.78118,0.90324,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
68,32496.5,0.98976,0.99467,1.10245,0.8414,0.72049,0.79999,0.62447,0.80334,0.77634,0.90514,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279
69,32973.7,0.97106,0.98218,1.09651,0.83946,0.70515,0.7933,0.62672,0.79341,0.76906,0.89478,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
70,33444.8,0.97615,0.98383,1.09322,0.84934,0.71852,0.80373,0.63017,0.78332,0.76746,0.89063,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272
71,33922.8,0.99575,0.99171,1.10677,0.85794,0.71749,0.80184,0.6328,0.78193,0.78088,0.89443,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
72,34401.3,0.95686,0.96932,1.08675,0.88676,0.70796,0.80586,0.63404,0.7766,0.75833,0.89351,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266
73,34879.7,0.98397,0.98142,1.09325,0.85431,0.72018,0.80252,0.63473,0.7652,0.75964,0.89,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
74,35356.3,0.97666,0.97392,1.09365,0.86177,0.72101,0.80264,0.62833,0.78024,0.76807,0.89354,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259
75,35835.2,0.97983,0.97265,1.09318,0.84426,0.72607,0.80283,0.63455,0.78116,0.76804,0.8909,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
76,36314.6,0.96152,0.95719,1.08409,0.85442,0.72418,0.80704,0.63245,0.77964,0.75971,0.88833,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
77,36793.5,0.96634,0.9627,1.0873,0.83451,0.73096,0.80373,0.63748,0.77757,0.75013,0.88936,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
78,37267.8,0.97205,0.96949,1.09188,0.87141,0.71596,0.811,0.64486,0.75958,0.75131,0.88701,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246
79,37746.2,0.95082,0.95552,1.08421,0.83739,0.72454,0.80915,0.6365,0.7733,0.75366,0.88395,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
80,38225.5,0.96689,0.96571,1.08519,0.85757,0.72454,0.80697,0.64224,0.76441,0.74065,0.8886,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239
81,38703.2,0.97726,0.96032,1.09466,0.89227,0.70782,0.80454,0.64186,0.7687,0.7475,0.88955,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
82,39177.4,0.94532,0.9517,1.07754,0.87111,0.71964,0.81055,0.64039,0.77247,0.74646,0.8885,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233
83,39655.2,0.95107,0.94076,1.08087,0.84547,0.72554,0.80525,0.63913,0.77401,0.7477,0.88868,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
84,40130.1,0.9486,0.93547,1.07719,0.84432,0.73132,0.80511,0.6406,0.76644,0.7423,0.88594,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226
85,40605.6,0.96738,0.95254,1.08831,0.86525,0.73059,0.81126,0.64173,0.76793,0.74817,0.88544,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
86,41073.5,0.95314,0.94693,1.08056,0.87052,0.72417,0.80938,0.64273,0.75682,0.74494,0.88654,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
87,41551.7,0.95686,0.95046,1.08019,0.86403,0.72682,0.80675,0.63999,0.77472,0.74484,0.88845,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
88,42027.3,0.94612,0.93423,1.07936,0.83372,0.73041,0.8073,0.643,0.75706,0.74031,0.88688,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213
89,42501.4,0.93622,0.9343,1.07342,0.83201,0.73797,0.80783,0.6472,0.75607,0.73777,0.88539,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
90,42971.8,0.95448,0.94242,1.08048,0.84752,0.73801,0.81236,0.64429,0.76088,0.73222,0.88588,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206
91,43441.7,0.92525,0.93749,1.06239,0.86323,0.70831,0.80072,0.62686,0.78606,0.78125,0.8924,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
92,43914.6,0.88136,0.8871,1.03666,0.85599,0.71599,0.80147,0.62866,0.76747,0.77082,0.88243,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652
93,44384.9,0.89891,0.88943,1.04797,0.85857,0.71374,0.80082,0.63085,0.7711,0.76178,0.88257,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
94,44845.3,0.89603,0.88474,1.05024,0.85996,0.71511,0.80359,0.63403,0.76227,0.76326,0.88116,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193
95,45309.6,0.87428,0.85883,1.03209,0.85975,0.71466,0.80454,0.63749,0.76181,0.75842,0.88296,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
96,45774.2,0.87568,0.86521,1.036,0.86299,0.71132,0.80586,0.63629,0.7532,0.74437,0.8788,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
97,46240.5,0.87627,0.85837,1.0276,0.85565,0.72846,0.80868,0.63993,0.75714,0.74526,0.87926,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
98,46702.1,0.88311,0.86592,1.03387,0.86618,0.72189,0.80766,0.64022,0.75078,0.73834,0.87633,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05
99,47169,0.86624,0.86157,1.03485,0.85773,0.72666,0.80863,0.64314,0.74565,0.73823,0.87416,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
100,47632,0.86434,0.86028,1.02992,0.85915,0.72956,0.80813,0.64103,0.74624,0.73718,0.87428,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05
